tweet_id,tweet_user_id,tweet_created_at_year,tweet_created_at_month,tweet_created_at_day,tweet_created_at_hour,tweet_hashtag_count,tweet_url_count,tweet_mention_count,tweet_has_attachment,tweet_attachment_class,tweet_language_id,tweet_topic_ids,virality
34698,10,2015,12,5,3,2.0,1.0,0.0,False,C,0,"['36', '36', '36', '36', '36', '36', '37', '37', '37', '37', '37', '37']",3
24644,4,2020,6,19,0,0.0,1.0,0.0,False,C,0,"['43', '78', '79', '80', '80', '89', '98', '99', '100']",3
36321,54,2019,6,2,15,2.0,3.0,0.0,True,A,0,"['79', '80', '98', '98', '98', '99', '99', '100', '100', '79', '80']",1
2629,42,2020,9,6,17,0.0,1.0,1.0,True,A,0,"['43', '79', '80', '98', '99', '99', '79', '80']",2
28169,32,2020,11,4,17,2.0,1.0,0.0,True,A,0,"['79', '80', '98', '99', '43', '89']",2
38711,34,2020,8,22,20,3.0,2.0,0.0,True,A,0,"['79', '78', '79', '80']",1
29010,43,2020,8,11,13,5.0,1.0,0.0,False,C,0,,1
1058,16,2019,7,10,18,1.0,1.0,1.0,True,A,0,"['39', '44', '59', '78', '79', '80', '98', '99', '100', '78', '79', '80', '80']",2
38352,34,2020,11,30,8,1.0,2.0,2.0,True,A,0,"['98', '99', '156', '78', '79', '80']",1
2442,37,2016,3,15,15,0.0,2.0,0.0,True,A,0,,2
27773,6,2019,9,17,8,2.0,2.0,6.0,True,A,0,"['78', '78', '79', '79', '80', '80', '81']",1
39753,39,2019,9,19,18,2.0,2.0,0.0,True,A,0,"['78', '79', '79', '80', '98']",1
13604,3,2019,9,24,13,3.0,1.0,1.0,True,A,0,"['78', '79', '80', '98']",2
16195,22,2021,1,11,17,0.0,1.0,0.0,True,A,0,"['78', '79', '80', '98', '99', '100', '78', '79', '80']",1
25052,4,2019,1,21,18,0.0,1.0,0.0,True,A,0,"['78', '79', '80', '98', '99', '100', '78', '79', '80']",3
34958,11,2020,7,12,15,4.0,5.0,1.0,True,A,0,"['36', '78', '79', '80', '99', '100']",1
22986,45,2020,9,16,15,3.0,1.0,3.0,True,A,0,"['43', '93', '125', '43', '43', '78', '79', '80', '89', '98', '99']",2
20569,31,2020,6,23,13,1.0,1.0,1.0,True,A,0,"['78', '79', '80']",2
31276,23,2019,6,22,11,1.0,1.0,0.0,False,C,0,"['78', '79', '80']",3
41816,0,2020,8,27,0,0.0,4.0,0.0,True,A,0,"['78', '79', '80', '98', '99', '78', '79', '80']",1
5396,1,2019,1,8,14,1.0,2.0,0.0,True,A,0,"['79', '80']",1
10315,49,2018,7,11,15,2.0,1.0,1.0,True,A,0,"['36', '36', '36', '36', '37', '37', '59', '78', '79', '80', '98']",2
37039,33,2020,2,21,14,3.0,3.0,1.0,True,A,0,"['163', '78', '79', '80', '98']",5
3911,28,2017,2,27,21,1.0,0.0,0.0,True,B,0,,3
4684,19,2020,6,15,1,2.0,2.0,0.0,True,A,0,"['78', '79', '80']",2
41622,0,2020,11,16,15,0.0,2.0,0.0,True,A,0,"['78', '79', '80', '98', '99', '78', '79', '80']",1
19715,48,2020,2,25,12,1.0,0.0,0.0,False,C,0,"['78', '79', '80']",4
17285,27,2017,10,18,21,1.0,1.0,0.0,True,A,0,,2
9441,5,2018,5,19,11,1.0,2.0,1.0,True,A,0,,1
27472,6,2020,3,14,19,3.0,2.0,2.0,True,A,0,"['98', '99', '100', '118', '78', '79', '80', '98', '100']",1
40008,47,2020,6,22,21,0.0,1.0,0.0,False,C,0,"['79', '80']",2
22851,45,2021,1,16,21,1.0,4.0,1.0,True,A,0,"['43', '78', '79', '80', '87', '88']",1
36318,54,2019,6,2,23,3.0,3.0,0.0,True,A,0,"['79', '80', '98', '98', '98', '99', '99', '100', '79', '80', '98', '99', '100']",2
29778,38,2020,12,26,20,2.0,5.0,0.0,True,A,0,"['79', '80', '98', '99', '98', '99', '100']",3
17612,27,2016,4,7,16,2.0,1.0,0.0,True,A,0,,2
19845,48,2019,10,21,18,1.0,0.0,1.0,False,C,0,"['79', '80']",1
26302,46,2018,10,13,17,0.0,1.0,0.0,True,A,0,"['78', '79', '80', '98', '99', '100']",3
28137,32,2020,11,16,13,3.0,2.0,0.0,True,A,0,"['36', '79', '80', '98', '99']",3
33769,18,2020,3,27,15,1.0,1.0,1.0,False,C,0,"['78', '79', '79', '80']",2
12670,17,2019,9,10,15,1.0,0.0,2.0,False,C,0,"['78', '79', '80', '98', '99']",1
10566,26,2020,12,18,19,2.0,1.0,1.0,False,C,0,"['78', '79', '80']",1
31064,23,2020,1,25,15,2.0,1.0,2.0,False,C,0,"['78', '79', '80']",1
15877,40,2018,6,1,14,0.0,1.0,0.0,True,A,0,"['98', '99', '100', '78', '79', '80', '98', '99', '100', '100']",3
24210,50,2018,9,25,15,0.0,1.0,0.0,True,A,0,"['78', '79', '80']",5
38545,34,2020,10,4,17,3.0,2.0,0.0,True,A,0,"['156', '78', '79', '80']",1
23452,45,2019,8,23,16,1.0,1.0,0.0,False,C,0,"['78', '79', '80']",1
5289,1,2019,9,21,14,2.0,2.0,1.0,True,A,0,"['79', '80']",2
820,16,2021,1,2,12,2.0,1.0,0.0,True,A,0,"['78', '79', '80', '98', '99', '100', '152', '78', '79', '80', '80']",1
17773,27,2015,10,4,20,0.0,2.0,0.0,True,A,0,,1
19692,48,2020,4,5,20,0.0,0.0,0.0,False,C,0,"['156', '78', '79', '80']",2
42138,0,2019,11,28,0,0.0,2.0,0.0,True,A,0,"['78', '79', '80', '98', '99', '78', '79', '80']",1
39042,39,2020,11,22,19,2.0,2.0,0.0,True,A,0,"['78', '79', '79', '80', '98']",1
5508,1,2018,9,17,1,0.0,0.0,1.0,False,C,0,"['79', '80']",1
3753,28,2017,11,27,20,0.0,2.0,0.0,False,C,0,"['78', '79', '80', '98']",4
12015,52,2017,8,30,1,1.0,1.0,0.0,True,A,0,,1
24802,4,2019,12,14,19,0.0,1.0,0.0,True,A,0,"['78', '79', '80', '98', '99', '100', '78', '79', '80']",5
32334,15,2020,11,10,16,0.0,0.0,0.0,False,C,0,"['43', '79', '80', '98', '99']",1
10408,26,2021,1,9,18,1.0,2.0,2.0,True,A,0,"['78', '79', '80', '98', '99', '78', '79', '79', '80', '80']",1
975,16,2020,2,19,10,2.0,1.0,1.0,True,A,0,"['36', '36', '36', '36', '36', '44', '59', '78', '79', '80', '98', '99', '100', '78', '79', '80', '80', '59']",1
34349,10,2017,9,11,14,2.0,1.0,0.0,True,A,0,"['78', '79', '80', '98', '99', '100']",3
35178,11,2019,12,12,1,4.0,1.0,1.0,False,C,0,"['79', '80', '99', '163']",1
18250,2,2020,11,27,5,2.0,1.0,2.0,True,A,0,"['79', '79', '80', '80', '43', '79', '80', '81', '81', '87', '88', '98', '98', '99', '99']",1
11052,26,2020,9,1,15,1.0,1.0,1.0,True,A,0,"['78', '79', '80']",1
16459,22,2020,5,5,4,0.0,1.0,1.0,False,C,0,"['43', '44', '78', '79', '80', '93', '98', '99', '100', '78', '79', '80']",1
9438,5,2018,5,21,12,0.0,2.0,1.0,True,A,0,"['79', '80', '98', '99']",1
36624,33,2020,10,13,20,2.0,1.0,0.0,True,A,0,"['80', '81', '78', '79', '80', '98']",3
41299,12,2018,12,10,13,0.0,0.0,0.0,True,B,0,"['78', '79', '80']",2
13369,3,2020,2,14,14,3.0,1.0,1.0,True,A,0,"['78', '79', '80', '98']",1
41256,12,2019,1,25,16,0.0,0.0,1.0,False,C,0,"['78', '79', '80', '120']",3
38824,34,2020,7,25,13,0.0,2.0,0.0,True,A,0,"['78', '79', '80']",1
29403,43,2019,8,18,17,0.0,1.0,0.0,True,A,0,,1
34296,10,2018,4,5,22,1.0,1.0,1.0,False,C,3,"['36', '39', '39', '45', '73', '78', '79', '80', '98', '99', '100', '39', '73']",2
30,8,2020,12,12,16,2.0,1.0,1.0,False,C,0,"['78', '79', '80']",1
41760,0,2020,9,7,20,0.0,0.0,0.0,False,C,0,"['78', '79', '80', '98', '99', '78', '79', '80']",2
38886,34,2020,7,7,17,1.0,2.0,0.0,True,A,0,"['78', '79', '80']",1
8405,30,2020,5,2,18,2.0,1.0,1.0,True,A,0,"['78', '79', '79', '80', '98', '99']",3
34692,10,2015,12,18,19,3.0,1.0,0.0,False,C,0,,3
